ID,Code
0,4278190240
1,4278222848
2,4294901760
3,4294967040
4,4294934720
5,4284637794
6,4291335116
7,4279559375
8,4278190205
9,4294797602
10,4291342552
11,4289445126
12,4288704536
13,4289374805
14,4286578752
15,4290230199
16,4278231714
17,4283498536
18,4288610110
19,4291499719
20,4294901888
21,4286595072
22,4286644223
23,4286611648
24,4282664191
25,4288056432
26,4291674066
27,4283302043
28,4293555456
29,4291267981
30,4285098345
31,4291716864
32,4293771018
33,4282466098
34,4278222976
35,4294934656
36,4278209431
37,4290248559
38,4291603628
39,4278223040
40,4278190216
41,4278255615
42,4278232659
43,4278190144
44,4290155610
45,4278206464
46,4290707456
47,4278233256
48,4284662784
49,4278251640
50,4290822336
51,4278190080
52,4294848254
